ID,StoreName,City,Latitude,Longitude,GoogleMapsLink
store_000022,"AIR PAVILION","Greater Noida",28.5212575,77.35679390000001,"https://www.google.com/maps?q=28.5212575,77.35679390000001"
store_000024,"SHYAM ELECTRICALS","Ghaziabad",28.677627,77.42597839999999,"https://www.google.com/maps?q=28.677627,77.42597839999999"
store_000026,"BHASIN BROTHERS","Meerut",28.9929826,77.7056782,"https://www.google.com/maps?q=28.9929826,77.7056782"
store_000027,"METRO ELECTRICALS","Meerut",29.0246378,77.68616800000001,"https://www.google.com/maps?q=29.0246378,77.68616800000001"
store_000030,"SS ENTERPRISES","Noida",28.5376327,77.3866948,"https://www.google.com/maps?q=28.5376327,77.3866948"
store_000033,"AARCO ELECTROLINKS","Amritsar",31.6339793,74.8722642,"https://www.google.com/maps?q=31.6339793,74.8722642"
store_000035,"SMART ELCTRONICS","Noida",28.6069478,77.37971050000002,"https://www.google.com/maps?q=28.6069478,77.37971050000002"
store_000047,"LAXMI ELECTRONICS","Ghaziabad",28.6461156,77.4173556,"https://www.google.com/maps?q=28.6461156,77.4173556"
store_000053,"ARJUN AND SONS","Amritsar",31.6298509,74.8755779,"https://www.google.com/maps?q=31.6298509,74.8755779"
store_000054,"M S DISTRIBUTORS","Ghaziabad",28.6470732,77.44985439999999,"https://www.google.com/maps?q=28.6470732,77.44985439999999"
store_000055,"KIRTI ELECTROWORLD","Ghaziabad",28.5466416,77.5457083,"https://www.google.com/maps?q=28.5466416,77.5457083"
store_000058,"ELECTRIC POINT","Ghaziabad",28.6676911,77.4275454,"https://www.google.com/maps?q=28.6676911,77.4275454"
store_000060,"R.D.ELECTRONICS","Greater Noida",28.5127109,77.4772536,"https://www.google.com/maps?q=28.5127109,77.4772536"
store_000062,"RAM ELECTRONICS","Meerut",28.9856958,77.6698464,"https://www.google.com/maps?q=28.9856958,77.6698464"
store_000063,"AIRNET","Noida",28.6173478,77.3529964,"https://www.google.com/maps?q=28.6173478,77.3529964"
store_000066,"ARORA ELECTRONICS","Amritsar",31.6280579,74.8748492,"https://www.google.com/maps?q=31.6280579,74.8748492"
